pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,8/30/2023,94.2,-1.39,5.71,"Pepiot, Ryan",682998,686752,strikeout,swinging_strike,,,,,11,Corbin Carroll strikes out swinging.,R,L,R,LAD,AZ,S,2,,1,2,2023,-0.76,1.57,-0.96,3.18,,,,2,5,Top,,,,,605131,,,2.831000219,-137.2093998,-4.452380725,-10.18282458,29.50252757,-11.56036941,3.16,1.55,,,,95.8,2401,7.1,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.41,,,0,1,0,0,,42,4,4-Seam Fastball,6,0,0,6,0,6,0,6,Infield shade,Standard,214,0.002,-0.074
CH,8/30/2023,85,-1.3,5.99,"Pepiot, Ryan",682998,686752,,ball,,,,,13,Corbin Carroll strikes out swinging.,R,L,R,LAD,AZ,B,,,0,2,2023,-1.22,0.08,-1.27,1.68,,,,2,5,Top,,,,,605131,,,2.549901796,-123.7590133,-3.98321838,-13.06090886,23.92647627,-30.76343597,3.12,1.53,,,,85.5,2525,6.5,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.96,,,,,,,,42,3,Changeup,6,0,0,6,0,6,0,6,Infield shade,Standard,258,0,0.009
CH,8/30/2023,85.3,-1.3,6.01,"Pepiot, Ryan",682998,686752,,foul,,,,,4,Corbin Carroll strikes out swinging.,R,L,R,LAD,AZ,S,,,0,1,2023,-1.14,0.19,-0.78,2.17,,,,2,5,Top,,,,,605131,,,3.538825594,-124.3263091,-3.181765698,-12.50617046,23.1883273,-29.79736241,3.16,1.55,201,74.8,59,86.3,2487,6.7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.8,,,,,,,,42,2,Changeup,6,0,0,6,0,6,0,6,Infield shade,Standard,257,0,-0.023
FF,8/30/2023,92.6,-1.55,5.73,"Pepiot, Ryan",682998,686752,,called_strike,,,,,3,Corbin Carroll strikes out swinging.,R,L,R,LAD,AZ,S,,,0,0,2023,-0.65,1.46,0.4,2.91,,,,2,5,Top,,,,,605131,,,6.471607372,-134.6534838,-4.66319148,-9.298982899,28.2532454,-13.57249994,3.16,1.55,,,,93.9,2450,7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.47,,,,,,,,42,1,4-Seam Fastball,6,0,0,6,0,6,0,6,Infield shade,Standard,218,0,-0.017
FF,8/30/2023,93.5,-1.3,5.88,"Pepiot, Ryan",672695,686752,field_out,hit_into_play,,,,,5,Geraldo Perdomo flies out to center fielder James Outman.,R,L,R,LAD,AZ,X,8,fly_ball,1,2,2023,-0.68,1.34,-0.21,2.19,,,,1,5,Top,119.53,71.02,,,605131,,,4.347040084,-136.0680511,-6.775134341,-9.348076953,29.71248454,-14.29332415,3.4,1.55,318,93.8,40,94.5,2373,6.8,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.67,0.029,0.043,0,1,0,0,3,41,4,4-Seam Fastball,6,0,0,6,0,6,0,6,Infield shade,Standard,212,0.005,-0.119
CH,8/30/2023,85.2,-1.35,6,"Pepiot, Ryan",672695,686752,,ball,,,,,11,Geraldo Perdomo flies out to center fielder James Outman.,R,L,R,LAD,AZ,B,,,0,2,2023,-1.18,0.24,-1.54,2.55,,,,1,5,Top,,,,,605131,,,1.948299131,-124.0939627,-2.298913621,-12.57200647,24.7759103,-29.47612214,3.41,1.55,,,,85.8,2436,6.6,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.9,,,,,,,,41,3,Changeup,6,0,0,6,0,6,0,6,Infield shade,Standard,256,0,0.012
FF,8/30/2023,94.1,-1.36,5.98,"Pepiot, Ryan",672695,686752,,foul,,,,,1,Geraldo Perdomo flies out to center fielder James Outman.,R,L,R,LAD,AZ,S,,,0,1,2023,-0.92,1.53,-0.82,3.18,,,,1,5,Top,,,,,605131,,,3.503177983,-137.0406737,-4.993590826,-12.38091709,29.89958826,-12.0250644,3.4,1.55,258,77.3,37,95.3,2433,6.9,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.57,,,,,,,,41,2,4-Seam Fastball,6,0,0,6,0,6,0,6,Infield shade,Standard,216,0,-0.036
CH,8/30/2023,85.2,-1.51,5.95,"Pepiot, Ryan",672695,686752,,called_strike,,,,,7,Geraldo Perdomo flies out to center fielder James Outman.,R,L,R,LAD,AZ,S,,,0,0,2023,-1.22,0.24,-0.79,1.51,,,,1,5,Top,,,,,605131,,,4.193378095,-123.9724144,-4.620911526,-13.45875838,25.12579055,-29.00606357,3.34,1.55,,,,86,2472,6.8,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.68,,,,,,,,41,1,Changeup,6,0,0,6,0,6,0,6,Infield shade,Standard,255,0,-0.026
CH,8/30/2023,84.8,-1.57,6.08,"Pepiot, Ryan",645444,686752,field_out,hit_into_play,,,,,11,Jose Herrera lines out to center fielder James Outman.,R,L,R,LAD,AZ,X,8,line_drive,2,2,2023,-1.06,0.39,-0.88,2.37,,,,0,5,Top,112.44,76.22,,,605131,,,3.749156371,-123.4866049,-3.169113308,-11.62590246,23.52588725,-27.80911161,3.13,1.44,307,83.1,28,85.5,2361,6.6,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.91,0.091,0.1,0,1,0,0,3,40,5,Changeup,6,0,0,6,0,6,0,6,Infield shade,Standard,253,0.007,-0.214
FF,8/30/2023,92.9,-1.2,5.89,"Pepiot, Ryan",645444,686752,,foul,,,,,6,Jose Herrera lines out to center fielder James Outman.,R,L,R,LAD,AZ,S,,,2,1,2023,-0.83,1.44,0.7,2.55,,,,0,5,Top,,,,,605131,,,6.763166786,-135.0644604,-6.005636579,-11.64049168,28.09687777,-13.34690127,3.13,1.44,9,68.5,-16,94.2,2350,7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.53,,,,,,,,40,4,4-Seam Fastball,6,0,0,6,0,6,0,6,Infield shade,Standard,214,0,-0.067
FF,8/30/2023,93.2,-1.35,5.85,"Pepiot, Ryan",645444,686752,,ball,,,,,14,Jose Herrera lines out to center fielder James Outman.,R,L,R,LAD,AZ,B,,,1,1,2023,-0.83,1.4,0.01,0.77,,,,0,5,Top,,,,,605131,,,5.36201424,-135.3738297,-10.51534827,-11.30064327,26.17102232,-12.97899672,3.12,1.44,,,,94.7,2334,7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.5,,,,,,,,40,3,4-Seam Fastball,6,0,0,6,0,6,0,6,Infield shade,Standard,210,0,0.053
CH,8/30/2023,84.8,-1.3,6.1,"Pepiot, Ryan",645444,686752,,swinging_strike,,,,,13,Jose Herrera lines out to center fielder James Outman.,R,L,R,LAD,AZ,S,,,1,0,2023,-1.34,0.07,-0.4,1.3,,,,0,5,Top,,,,,605131,,,4.82188973,-123.3537609,-5.064406522,-14.67472909,23.09292958,-30.69358139,3.13,1.44,,,,85.4,2419,6.5,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.96,,,,,,,,40,2,Changeup,6,0,0,6,0,6,0,6,Standard,Standard,252,0,-0.046
FF,8/30/2023,93.2,-1.29,5.89,"Pepiot, Ryan",645444,686752,,ball,,,,,12,Jose Herrera lines out to center fielder James Outman.,R,L,R,LAD,AZ,B,,,0,0,2023,-0.56,1.53,1.47,2.33,,,,0,5,Top,,,,,605131,,,8.417205082,-135.4202182,-6.854003861,-8.687682484,27.85810193,-11.95000225,3.16,1.44,,,,94.5,2409,7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.53,,,,,,,,40,1,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,206,0,0.036
CH,8/30/2023,86.6,-1.48,6.03,"Pepiot, Ryan",607054,686752,field_out,hit_into_play,,,,,4,Jace Peterson grounds out to first baseman Freddie Freeman.,R,L,R,LAD,AZ,X,3,ground_ball,2,2,2023,-1.33,0.42,-0.62,2.39,502054,,666971,2,4,Top,144.23,170.11,,,605131,,,4.811336794,-126.0218448,-3.361847764,-15.18673071,26.07277831,-27.16599566,3.24,1.46,11,68.6,-13,87.1,2349,6.7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.83,0.049,0.044,0,1,0,0,2,33,5,Changeup,4,0,0,4,0,4,0,4,Strategic,Standard,247,0.032,-0.422
CH,8/30/2023,85.9,-1.55,6.02,"Pepiot, Ryan",607054,686752,,swinging_strike,,,,,7,Jace Peterson grounds out to first baseman Freddie Freeman.,R,L,R,LAD,AZ,S,,,2,1,2023,-1.31,0.3,-0.44,1.62,502054,,666971,2,4,Top,,,,,605131,,,5.330460101,-124.9644108,-4.783196056,-14.80845266,26.36680964,-28.23337334,3.24,1.46,,,,86.3,2355,6.7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.81,,,,,,,,33,4,Changeup,4,0,0,4,0,4,0,4,Standard,Standard,247,0,-0.136
FF,8/30/2023,93.1,-1.38,5.98,"Pepiot, Ryan",607054,686752,,ball,,,,,11,Jace Peterson grounds out to first baseman Freddie Freeman.,R,L,R,LAD,AZ,B,,,1,1,2023,-0.82,1.61,-0.89,3.83,502054,,666971,2,4,Top,,,,,605131,,,3.08517818,-135.4322335,-3.245706726,-10.81532509,32.24435757,-11.96038619,3.31,1.46,,,,93.4,2371,6.7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.79,,,,,,,,33,3,4-Seam Fastball,4,0,0,4,0,4,0,4,Standard,Standard,215,0,0.051
CH,8/30/2023,86,-1.7,5.88,"Pepiot, Ryan",607054,686752,,blocked_ball,,,,,13,Jace Peterson grounds out to first baseman Freddie Freeman.,R,L,R,LAD,AZ,B,,,0,1,2023,-1.3,0.25,-0.01,0.57,502054,,666971,2,4,Top,,,,,605131,,,6.710085889,-124.8577686,-6.836856765,-14.94450619,26.08518306,-28.36369699,3.29,1.46,,,,86.6,2351,6.9,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.63,,,,,,,,33,2,Changeup,4,0,0,4,0,4,0,4,Standard,Standard,248,0,0.066
FF,8/30/2023,92.8,-1.56,5.77,"Pepiot, Ryan",607054,686752,,foul,,,,,5,Jace Peterson grounds out to first baseman Freddie Freeman.,R,L,R,LAD,AZ,S,,,0,0,2023,-0.78,1.34,-0.13,2.3,502054,,666971,2,4,Top,,,,,605131,,,5.447584527,-134.9869417,-6.111469891,-10.74206077,28.25790281,-14.62177479,3.24,1.46,202,78.9,64,94.1,2328,7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.49,,,,,,,,33,1,4-Seam Fastball,4,0,0,4,0,4,0,4,Standard,Standard,214,0,-0.088
